Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2016,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"5,060",6.5
CENSUS,2016,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"206,000",8.1
CENSUS,2016,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"192,798",20.6
CENSUS,2016,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),13,20.6
CENSUS,2016,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"81,695",19.9
CENSUS,2016,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,660,544",19.2
CENSUS,2016,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),
CENSUS,2016,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,
CENSUS,2016,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),
CENSUS,2016,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),
CENSUS,2016,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"117,484",6.3
CENSUS,2016,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),8,8.4
CENSUS,2016,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"49,523",6.5
CENSUS,2016,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,645,607",8.1
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"526,447",19.1
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),53,7.6
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"185,060",18.5
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,988,067",34.5
CENSUS,2016,YEAR,,STATE,OHIO,39,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"14,640",26
CENSUS,2016,YEAR,,STATE,OHIO,39,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,27.9
CENSUS,2016,YEAR,,STATE,OHIO,39,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,OHIO,39,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"201,012",23.1
CENSUS,2016,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"156,880",30.4
CENSUS,2016,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),8,28.8
CENSUS,2016,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"43,942",31.1
CENSUS,2016,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,309,806",31.2
CENSUS,2016,YEAR,,STATE,VERMONT,50,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,481,800",7.6
CENSUS,2016,YEAR,,STATE,VERMONT,50,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),140,4.6
CENSUS,2016,YEAR,,STATE,VERMONT,50,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,106,788",7.9
CENSUS,2016,YEAR,,STATE,VERMONT,50,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"31,754,540",7.5
CENSUS,2016,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,45.4
CENSUS,2016,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"93,085",16.6
CENSUS,2016,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),28,10.7
CENSUS,2016,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"28,389",19.5
CENSUS,2016,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"918,945",17.7
CENSUS,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"4,151,865",17.2
CENSUS,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),256,7.9
CENSUS,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,459,344",18.9
CENSUS,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"46,874,200",19.1
CENSUS,2015,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,17.4
CENSUS,2015,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,MAINE,23,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,024,839",28
CENSUS,2015,YEAR,,STATE,MAINE,23,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),33,17.4
CENSUS,2015,YEAR,,STATE,MAINE,23,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"357,157",28.4
CENSUS,2015,YEAR,,STATE,MAINE,23,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"12,292,468",27
CENSUS,2015,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"9,900",28
CENSUS,2015,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),5,17.4
CENSUS,2015,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,324",28.4
CENSUS,2015,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"101,600",27
CENSUS,2015,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,(H)
CENSUS,2015,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,000",78.9
CENSUS,2015,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,80.1
CENSUS,2015,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),450,71.5
CENSUS,2015,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"17,492",91.1
CENSUS,2015,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),7,17.4
CENSUS,2015,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,169,726",27
CENSUS,2015,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"753,150",42.7
CENSUS,2015,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),39,18.4
CENSUS,2015,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"243,256",45.4
CENSUS,2015,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"9,774,882",46.2
CENSUS,2015,YEAR,,STATE,OHIO,39,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"21,100",64.7
CENSUS,2015,YEAR,,STATE,OHIO,39,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,45.2
CENSUS,2015,YEAR,,STATE,OHIO,39,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"7,822",66
CENSUS,2015,YEAR,,STATE,OHIO,39,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"312,296",62.7
CENSUS,2015,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"59,018",92
CENSUS,2015,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,(H)
CENSUS,2015,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"13,031",(H)
CENSUS,2015,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"513,400",(H)
CENSUS,2015,YEAR,,STATE,VERMONT,50,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,146,206",24.9
CENSUS,2015,YEAR,,STATE,VERMONT,50,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),126,7.5
CENSUS,2015,YEAR,,STATE,VERMONT,50,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"787,592",29.1
CENSUS,2015,YEAR,,STATE,VERMONT,50,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"22,181,474",28.5
CENSUS,2015,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2015,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"36,082",55.9
CENSUS,2015,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),23,37.3
CENSUS,2015,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"7,677",57.9
